No.,P1,P2,P3,P4,Duration
235_30,axr,q,eh,pcl,1640
235_31,q,eh,pcl,p,192
235_32,eh,pcl,p,ix,728
235_33,pcl,p,ix,dcl,1053
235_34,p,ix,dcl,d,256
235_35,ix,dcl,d,ih,1338
235_36,dcl,d,ih,m,936
235_37,d,ih,m,ix,1137
235_38,ih,m,ix,kcl,1389
235_39,m,ix,kcl,k,291
235_40,ix,kcl,k,pau,2536
235_41,kcl,k,pau,t,1194
235_42,k,pau,t,ay,2585
235_43,pau,t,ay,f,1554
235_44,t,ay,f,ax,1493
235_45,ay,f,ax,s,3243
236_0,sil,sil,sil,q,766
236_1,sil,sil,q,ih,1474
236_2,sil,q,ih,dx,480
236_3,q,ih,dx,ih,1760
236_4,ih,dx,ih,z,1460
236_5,dx,ih,z,ey,2512
236_6,ih,z,ey,hv,2038
236_7,z,ey,hv,ae,1750
236_8,ey,hv,ae,pcl,1460
236_9,hv,ae,pcl,p,350
236_10,ae,pcl,p,iy,1922
236_11,pcl,p,iy,pau,5779
236_12,p,iy,pau,bcl,1072
236_13,iy,pau,bcl,b,167
236_14,pau,bcl,b,ah,1700
236_15,bcl,b,ah,z,1850
236_16,b,ah,z,ih,753
236_17,ah,z,ih,n,1267
236_18,z,ih,n,pau,3871
236_19,ih,n,pau,k,1929
236_20,n,pau,k,r,1613
236_21,pau,k,r,aw,4437
236_22,k,r,aw,dcl,1458
236_23,r,aw,dcl,d,724
237_0,sil,sil,sil,k,977
237_1,sil,sil,k,w,607
237_2,sil,k,w,ay,1215
237_3,k,w,ay,dx,502
237_4,w,ay,dx,ao,2508
237_5,ay,dx,ao,f,1611
237_6,dx,ao,f,ax,659
237_7,ao,f,ax,n,839
237_8,f,ax,n,hv,1280
237_9,ax,n,hv,ah,961
237_10,n,hv,ah,n,440
237_11,hv,ah,n,iy,1280
237_12,ah,n,iy,bcl,749
237_13,n,iy,bcl,b,384
237_14,iy,bcl,b,iy,2067
237_15,bcl,b,iy,z,1600
237_16,b,iy,z,f,1005
237_17,iy,z,f,ao,427
237_18,z,f,ao,r,501
237_19,f,ao,r,m,627
237_20,ao,r,m,ax,960
237_21,r,m,ax,m,960
237_22,m,ax,m,ix,1000
237_23,ax,m,ix,dcl,360
237_24,m,ix,dcl,jh,1000
237_25,ix,dcl,jh,uh,775
237_26,dcl,jh,uh,r,1545
237_27,jh,uh,r,ix,720
237_28,uh,r,ix,dx,320
237_29,r,ix,dx,iy,1509
237_30,ix,dx,iy,aa,1291
237_31,dx,iy,aa,n,699
237_32,iy,aa,n,dh,307
237_33,aa,n,dh,ax,418
237_34,n,dh,ax,w,1546
237_35,dh,ax,w,ih,794
237_36,ax,w,ih,l,835
237_37,w,ih,l,ow,1721
237_38,ih,l,ow,kcl,789
237_39,l,ow,kcl,k,832
237_40,ow,kcl,k,ae,1219
237_41,kcl,k,ae,kcl,1309
237_42,k,ae,kcl,k,851
237_43,ae,kcl,k,ix,534
237_44,kcl,k,ix,n,1638
237_45,k,ix,n,s,1838
238_0,sil,sil,sil,dh,363
238_1,sil,sil,dh,ax,698
238_2,sil,dh,ax,l,877
238_3,dh,ax,l,aa,1755
238_4,ax,l,aa,r,1086
238_5,l,aa,r,v,961
238_6,aa,r,v,ah,2343
238_7,r,v,ah,pau,4258
238_8,v,ah,pau,k,832
238_9,ah,pau,k,eh,1270
238_10,pau,k,eh,pcl,1205
238_11,k,eh,pcl,p,405
238_12,eh,pcl,p,w,924
238_13,pcl,p,w,ao,1003
238_14,p,w,ao,r,877
238_15,w,ao,r,m,919
238_16,ao,r,m,bcl,551
238_17,r,m,bcl,b,144
238_18,m,bcl,b,ay,2092
238_19,bcl,b,ay,dh,722
238_20,b,ay,dh,ix,398
238_21,ay,dh,ix,kcl,1021
238_22,dh,ix,kcl,k,1664
238_23,ix,kcl,k,w,789
238_24,kcl,k,w,iy,3021
238_25,k,w,iy,n,2345
238_26,w,iy,n,q,1280
238_27,iy,n,q,aa,595
238_28,n,q,aa,r,501
238_29,q,aa,r,f,1773
238_30,aa,r,f,el,1862
238_31,r,f,el,gcl,1018
238_32,f,el,gcl,g,427
238_33,el,gcl,g,r,1601
238_34,gcl,g,r,ow,2089
238_35,g,r,ow,n,752
238_36,r,ow,n,ax,376
238_37,ow,n,ax,nx,752
238_38,n,ax,nx,axr,436
238_39,ax,nx,axr,bcl,814
238_40,nx,axr,bcl,b,193
238_41,axr,bcl,b,aw,2131
238_42,bcl,b,aw,tcl,1192
238_43,b,aw,tcl,t,1109
238_44,aw,tcl,t,eh,1481
238_45,tcl,t,eh,n,1656
238_46,t,eh,n,dcl,404
238_47,eh,n,dcl,d,260
238_48,n,dcl,d,ey,4028
238_49,dcl,d,ey,z,2912
239_0,sil,sil,sil,s,1440
239_1,sil,sil,s,ah,1393
239_2,sil,s,ah,m,507
239_3,s,ah,m,tcl,970
239_4,ah,m,tcl,t,670
239_5,m,tcl,t,ay,2120
239_6,tcl,t,ay,m,1020
239_7,t,ay,m,z,660
239_8,ay,m,z,ao,1533
239_9,m,z,ao,l,827
239_10,z,ao,l,dh,600
239_11,ao,l,dh,ow,3080
239_12,l,dh,ow,bcl,1600
239_13,dh,ow,bcl,b,238
239_14,ow,bcl,b,ay,2242
239_15,bcl,b,ay,n,720
239_16,b,ay,n,ow,1840
239_17,ay,n,ow,m,1160
239_18,n,ow,m,iy,1200
239_19,ow,m,iy,n,1180
239_20,m,iy,n,z,560
239_21,iy,n,z,ao,2421
239_22,n,z,ao,l,1092
239_23,z,ao,l,w,546
239_24,ao,l,w,ix,1361
239_25,l,w,ix,z,1360
239_26,w,ix,z,iy,1980
239_27,ix,z,iy,z,850
239_28,z,iy,z,er,2587
239_29,iy,z,er,ix,703
239_30,z,er,ix,n,840
239_31,er,ix,n,dcl,560
239_32,ix,n,dcl,d,200
239_33,n,dcl,d,iy,1862
239_34,dcl,d,iy,dx,627
239_35,d,iy,dx,ae,1711
239_36,iy,dx,ae,l,1520
239_37,dx,ae,l,kcl,1050
239_38,ae,l,kcl,k,610
239_39,l,kcl,k,ax,373
239_40,kcl,k,ax,l,1128
239_41,k,ax,l,ay,2773
239_42,ax,l,ay,n,450
240_0,sil,sil,sil,ih,760
240_1,sil,sil,ih,dx,400
240_2,sil,ih,dx,ih,840
240_3,ih,dx,ih,z,1080
240_4,dx,ih,z,pcl,1090
240_5,ih,z,pcl,p,460
240_6,z,pcl,p,aa,2370
240_7,pcl,p,aa,s,907
240_8,p,aa,s,ax-h,533
240_9,aa,s,ax-h,bcl,1180
240_10,s,ax-h,bcl,el,1300
240_11,ax-h,bcl,el,tcl,1000
240_12,bcl,el,tcl,t,360
240_13,el,tcl,t,ix,400
240_14,tcl,t,ix,m,1120
240_15,t,ix,m,ey,1200
240_16,ix,m,ey,kcl,1040
240_17,m,ey,kcl,ey,1600
240_18,ey,kcl,ey,pau,1714
240_19,kcl,ey,pau,f,816
240_20,ey,pau,f,y,676
240_21,pau,f,y,ux,1354
240_22,f,y,ux,dcl,2020
240_23,y,ux,dcl,jh,470
240_24,ux,dcl,jh,eh,750
240_25,dcl,jh,eh,nx,480
240_26,jh,eh,nx,axr,2374
240_27,eh,nx,axr,el,961
240_28,nx,axr,el,ay,1865
240_29,axr,el,ay,z,1300
240_30,el,ay,z,ey,2300
240_31,ay,z,ey,sh,1790
240_32,z,ey,sh,en,1770
240_33,ey,sh,en,z,940
240_34,sh,en,z,ax,660
240_35,en,z,ax,bcl,960
240_36,z,ax,bcl,b,221
240_37,ax,bcl,b,aw,1699
240_38,bcl,b,aw,tcl,1043
240_39,b,aw,tcl,dh,377
240_40,aw,tcl,dh,ax,800
240_41,tcl,dh,ax,s,2500
240_42,dh,ax,s,ih,880
240_43,ax,s,ih,kcl,630
240_44,s,ih,kcl,k,250
240_45,ih,kcl,k,s,2080
240_46,kcl,k,s,dcl,1020
240_47,k,s,dcl,jh,540
240_48,s,dcl,jh,ay,2453
240_49,dcl,jh,ay,ix,919
240_50,jh,ay,ix,n,460
240_51,ay,ix,n,tcl,468
240_52,ix,n,tcl,s,2700
240_53,n,tcl,s,pau,1797
240_54,tcl,s,pau,dh,353
240_55,s,pau,dh,ix,890
240_56,pau,dh,ix,m,1200
240_57,dh,ix,m,s,2070
240_58,ix,m,s,eh,2623
240_59,m,s,eh,l,1307
240_60,s,eh,l,v,720
240_61,eh,l,v,s,2890
241_0,sil,sil,sil,dh,555
241_1,sil,sil,dh,ih,873
241_2,sil,dh,ih,s,1330
241_3,dh,ih,s,bcl,1270
241_4,ih,s,bcl,b,160
241_5,s,bcl,b,axr,1690
241_6,bcl,b,axr,th,1391
241_7,b,axr,th,epi,529
241_8,axr,th,epi,l,626
241_9,th,epi,l,eh,1254
241_10,epi,l,eh,ng,848
241_11,l,eh,ng,th,753
241_12,eh,ng,th,s,2439
241_13,ng,th,s,iy,1071
241_14,th,s,iy,m,1009
241_15,s,iy,m,z,1288
241_16,iy,m,z,tcl,376
241_17,m,z,tcl,t,501
241_18,z,tcl,t,ix,475
241_19,tcl,t,ix,bcl,480
241_20,t,ix,bcl,b,200
241_21,ix,bcl,b,iy,1060
241_22,bcl,b,iy,tcl,690
241_23,b,iy,tcl,t,1100
241_24,iy,tcl,t,ix,710
241_25,tcl,t,ix,pcl,920
241_26,t,ix,pcl,p,300
241_27,ix,pcl,p,ax,647
241_28,pcl,p,ax,kcl,673
241_29,p,ax,kcl,k,730
241_30,ax,kcl,k,el,1930
242_0,sil,sil,sil,n,280
242_1,sil,sil,n,ow,2120
242_2,sil,n,ow,f,1900
242_3,n,ow,f,ix,510
242_4,ow,f,ix,s,1460
242_5,f,ix,s,ih,880
242_6,ix,s,ih,kcl,610
242_7,s,ih,kcl,k,880
242_8,ih,kcl,k,y,1042
242_9,kcl,k,y,l,1282
242_10,k,y,l,ey,2406
242_11,y,l,ey,sh,1550
242_12,l,ey,sh,ih,1363
242_13,ey,sh,ih,n,1077
242_14,sh,ih,n,z,1080
242_15,ih,n,z,q,1059
242_16,n,z,q,er,1723
242_17,z,q,er,s,2328
242_18,q,er,s,eh,1204
242_19,er,s,eh,n,322
242_20,s,eh,n,tcl,351
242_21,eh,n,tcl,s,893
242_22,n,tcl,s,axr,908
242_23,tcl,s,axr,dcl,1052
242_24,s,axr,dcl,d,307
242_25,axr,dcl,d,iy,1523
242_26,dcl,d,iy,f,1710
242_27,d,iy,f,eh,1620
242_28,iy,f,eh,kcl,472
242_29,f,eh,kcl,k,334
242_30,eh,kcl,k,s,1337
242_31,kcl,k,s,w,543
242_32,k,s,w,axr,834
242_33,s,w,axr,f,1870
242_34,w,axr,f,aw,3733
242_35,axr,f,aw,n,1269
242_36,f,aw,n,dcl,415
242_37,aw,n,dcl,d,457
243_0,sil,sil,sil,th,1219
243_1,sil,sil,th,ay,2354
243_2,sil,th,ay,r,1825
243_3,th,ay,r,oy,1921
243_4,ay,r,oy,dcl,845
243_5,r,oy,dcl,d,145
243_6,oy,dcl,d,f,1651
243_7,dcl,d,f,ah,1179
243_8,d,f,ah,ng,501
243_9,f,ah,ng,kcl,619
243_10,ah,ng,kcl,k,198
243_11,ng,kcl,k,sh,1523
243_12,kcl,k,sh,ix,409
243_13,k,sh,ix,n,942
243_14,sh,ix,n,tcl,859
243_15,ix,n,tcl,t,1070
243_16,n,tcl,t,eh,1900
243_17,tcl,t,eh,s,2070
243_18,t,eh,s,tcl,835
243_19,eh,s,tcl,y,1658
243_20,s,tcl,y,iy,682
243_21,tcl,y,iy,l,1040
243_22,y,iy,l,dcl,547
243_23,iy,l,dcl,ix,1008
243_24,l,dcl,ix,dcl,1150
243_25,dcl,ix,dcl,n,899
243_26,ix,dcl,n,ao,1037
243_27,dcl,n,ao,r,674
243_28,n,ao,r,m,1297
243_29,ao,r,m,el,1313
243_30,r,m,el,r,1520
243_31,m,el,r,ix,1080
243_32,el,r,ix,z,1250
243_33,r,ix,z,uh,1221
243_34,ix,z,uh,l,1239
243_35,z,uh,l,tcl,1000
243_36,uh,l,tcl,t,179
243_37,l,tcl,t,s,1871
244_0,sil,sil,sil,q,349
244_1,sil,sil,q,eh,920
244_2,sil,q,eh,kcl,841
244_3,q,eh,kcl,k,250
244_4,eh,kcl,k,s,1800
244_5,kcl,k,s,r,880
244_6,k,s,r,ey,1760
244_7,s,r,ey,f,2210
244_8,r,ey,f,ih,1449
244_9,ey,f,ih,l,1003
244_10,f,ih,l,m,1117
244_11,ih,l,m,z,1431
244_12,l,m,z,ax,585
244_13,m,z,ax,dh,1095
244_14,z,ax,dh,ix,618
244_15,ax,dh,ix,v,1612
244_16,dh,ix,v,er,1688
244_17,ix,v,er,dx,418
244_18,v,er,dx,axr,694
244_19,er,dx,axr,bcl,1120
244_20,dx,axr,bcl,b,200
244_21,axr,bcl,b,el,1400
244_22,bcl,b,el,kcl,1340
244_23,b,el,kcl,k,1320
244_24,el,kcl,k,aa,1696
244_25,kcl,k,aa,l,1170
244_26,k,aa,l,ax,674
244_27,aa,l,ax,m,1840
244_28,l,ax,m,sh,2350
244_29,ax,m,sh,ow,2130
244_30,m,sh,ow,dcl,1396
244_31,sh,ow,dcl,p,884
244_32,ow,dcl,p,axr,640
244_33,dcl,p,axr,gcl,950
244_34,p,axr,gcl,g,260
244_35,axr,gcl,g,r,743
244_36,gcl,g,r,eh,1487
244_37,g,r,eh,sh,2400
244_38,r,eh,sh,en,2000
244_39,eh,sh,en,q,1609
244_40,sh,en,q,ax,591
244_41,en,q,ax,v,1044
244_42,q,ax,v,dh,656
244_43,ax,v,dh,ix,1183
244_44,v,dh,ix,pau,4261
244_45,dh,ix,pau,d,426
244_46,ix,pau,d,ix,630
244_47,pau,d,ix,m,1575
244_48,d,ix,m,ih,1045
244_49,ix,m,ih,nx,418
244_50,m,ih,nx,axr,1545
244_51,ih,nx,axr,el,1003
244_52,nx,axr,el,ay,1864
244_53,axr,el,ay,z,1370
244_54,el,ay,z,ey,2380
244_55,ay,z,ey,sh,2073
244_56,z,ey,sh,en,1287
245_0,sil,sil,sil,m,884
245_1,sil,sil,m,ay,1800
245_2,sil,m,ay,kcl,950
245_3,m,ay,kcl,k,760
245_4,ay,kcl,k,axr,610
245_5,kcl,k,axr,s,1950
245_6,k,axr,s,kcl,550
245_7,axr,s,kcl,k,440
245_8,s,kcl,k,aa,2060
245_9,kcl,k,aa,pcl,1270
245_10,k,aa,pcl,p,220
245_11,aa,pcl,p,ix,430
245_12,pcl,p,ix,kcl,1650
245_13,p,ix,kcl,k,550
245_14,ix,kcl,k,l,726
245_15,kcl,k,l,iy,1539
245_16,k,l,iy,pau,3474
245_17,l,iy,pau,dh,401
245_18,iy,pau,dh,eh,518
245_19,pau,dh,eh,r,752
245_20,dh,eh,r,w,1504
245_21,eh,r,w,ax,916
245_22,r,w,ax,z,1150
245_23,w,ax,z,q,657
245_24,ax,z,q,eh,1315
245_25,z,q,eh,m,754
245_26,q,eh,m,pcl,555
245_27,eh,m,pcl,f,1149
245_28,m,pcl,f,ix,610
245_29,pcl,f,ix,z,1940
245_30,f,ix,z,iy,2149
245_31,ix,z,iy,m,1519
245_32,z,iy,m,ah,1892
245_33,iy,m,ah,pau,2960
245_34,m,ah,pau,f,1350
245_35,ah,pau,f,ay,2202
245_36,pau,f,ay,bcl,1508
245_37,f,ay,bcl,b,350
245_38,ay,bcl,b,r,873
245_39,bcl,b,r,ow,1747
245_40,b,r,ow,s,1800
245_41,r,ow,s,ih,1399
245_42,ow,s,ih,s,2290
245_43,s,ih,s,pau,1302
245_44,ih,s,pau,ix,460
245_45,s,pau,ix,n,1420
245_46,pau,ix,n,v,1053
245_47,ix,n,v,ae,2456
245_48,n,v,ae,s,1363
245_49,v,ae,s,kcl,277
245_50,ae,s,kcl,k,828
245_51,s,kcl,k,y,262
245_52,kcl,k,y,ix,437
245_53,k,y,ix,l,691
245_54,y,ix,l,er,1452
245_55,ix,l,er,kcl,950
245_56,l,er,kcl,k,450
245_57,er,kcl,k,ix,640
245_58,kcl,k,ix,n,530
245_59,k,ix,n,dcl,531
245_60,ix,n,dcl,jh,1170
245_61,n,dcl,jh,eh,2179
245_62,dcl,jh,eh,s,1550
245_63,jh,eh,s,tcl,490
245_64,eh,s,tcl,ch,1110
245_65,s,tcl,ch,ix,1000
245_66,tcl,ch,ix,n,662
246_0,sil,sil,sil,ih,893
246_1,sil,sil,ih,n,1016
246_2,sil,ih,n,epi,658
246_3,ih,n,epi,f,913
246_4,n,epi,f,l,747
246_5,epi,f,l,ae,1493
246_6,f,l,ae,m,960
246_7,l,ae,m,ax,563
246_8,ae,m,ax,tcl,1197
246_9,m,ax,tcl,t,790
246_10,ax,tcl,t,ao,1915
246_11,tcl,t,ao,r,1404
246_12,t,ao,r,iy,1411
246_13,ao,r,iy,s,2750
246_14,r,iy,s,eh,3123
246_15,iy,s,eh,l,2527
246_16,s,eh,l,z,1677
246_17,eh,l,z,epi,567
246_18,l,z,epi,w,770
246_19,z,epi,w,axr,826
246_20,epi,w,axr,s,1392
246_21,w,axr,s,tcl,748
246_22,axr,s,tcl,t,560
246_23,s,tcl,t,r,1152
246_24,tcl,t,r,ay,1546
246_25,t,r,ay,kcl,473
246_26,r,ay,kcl,k,721
246_27,ay,kcl,k,ix,880
246_28,kcl,k,ix,ng,1477
246_29,k,ix,ng,l,1311
246_30,ix,ng,l,ae,3786
246_31,ng,l,ae,bcl,1174
246_32,l,ae,bcl,s,1580
246_33,ae,bcl,s,en,1200
246_34,bcl,s,en,tcl,2140
247_0,sil,sil,sil,dh,282
247_1,sil,sil,dh,iy,2533
247_2,sil,dh,iy,z,2182
247_3,dh,iy,z,epi,702
247_4,iy,z,epi,w,1387
247_5,z,epi,w,axr,1061
247_6,epi,w,axr,th,1924
247_7,w,axr,th,ao,3197
247_8,axr,th,ao,tcl,1847
247_9,th,ao,tcl,t,1130
247_10,ao,tcl,t,ux,1076
247_11,tcl,t,ux,r,960
247_12,t,ux,r,eh,1268
247_13,ux,r,eh,pcl,1333
247_14,r,eh,pcl,p,330
247_15,eh,pcl,p,r,411
247_16,pcl,p,r,ix,627
247_17,p,r,ix,z,1635
247_18,r,ix,z,eh,1331
247_19,ix,z,eh,n,714
247_20,z,eh,n,tcl,1220
247_21,eh,n,tcl,r,1408
247_22,n,tcl,r,iy,1377
247_23,tcl,r,iy,dcl,1004
247_24,r,iy,dcl,jh,1256
247_25,iy,dcl,jh,ih,1545
247_26,dcl,jh,ih,n,835
247_27,jh,ih,n,axr,793
247_28,ih,n,axr,r,1796
247_29,n,axr,r,ey,1880
247_30,axr,r,ey,tcl,531
247_31,r,ey,tcl,t,310
247_32,ey,tcl,t,iy,1250
247_33,tcl,t,iy,ng,2081
247_34,t,iy,ng,f,1229
247_35,iy,ng,f,ay,2833
247_36,ng,f,ay,bcl,1265
247_37,f,ay,bcl,b,402
247_38,ay,bcl,b,axr,1946
247_39,bcl,b,axr,z,3264
248_0,sil,sil,sil,dh,480
248_1,sil,sil,dh,ih,1350
248_2,sil,dh,ih,s,1858
248_3,dh,ih,s,w,512
248_4,ih,s,w,ax,1010
248_5,s,w,ax,z,1900
248_6,w,ax,z,tcl,840
248_7,ax,z,tcl,ch,1240
248_8,z,tcl,ch,iy,1890
248_9,tcl,ch,iy,f,1960
248_10,ch,iy,f,l,653
248_11,iy,f,l,iy,1307
248_12,f,l,iy,bcl,960
248_13,l,iy,bcl,b,200
248_14,iy,bcl,b,ix,920
248_15,bcl,b,ix,kcl,1130
248_16,b,ix,kcl,k,950
248_17,ix,kcl,k,ao,3240
248_18,kcl,k,ao,z,1300
248_19,k,ao,z,ix,1620
248_20,ao,z,ix,dh,940
248_21,z,ix,dh,ax,820
248_22,ix,dh,ax,bcl,1260
248_23,dh,ax,bcl,b,240
248_24,ax,bcl,b,l,1343
248_25,bcl,b,l,uw,2590
248_26,b,l,uw,ix,1295
248_27,l,uw,ix,sh,3892
248_28,uw,ix,sh,epi,1260
248_29,ix,sh,epi,w,1293
248_30,sh,epi,w,ay,2587
248_31,epi,w,ay,tcl,1283
248_32,w,ay,tcl,t,585
248_33,ay,tcl,t,pau,3092
248_34,tcl,t,pau,q,475
248_35,t,pau,q,ao,1906
248_36,pau,q,ao,dx,579
248_37,q,ao,dx,ow,2534
248_38,ao,dx,ow,pau,8426
248_39,dx,ow,pau,f,1150
248_40,ow,pau,f,l,1537
248_41,pau,f,l,ao,1211
248_42,f,l,ao,r,668
248_43,l,ao,r,eh,1214
248_44,ao,r,eh,s,2170
248_45,r,eh,s,ax,794
248_46,eh,s,ax,n,1346
248_47,s,ax,n,s,2150
248_48,ax,n,s,pau,3760
248_49,n,s,pau,f,2440
248_50,s,pau,f,r,520
248_51,pau,f,r,ah,770
248_52,f,r,ah,m,1056
248_53,r,ah,m,dh,474
248_54,ah,m,dh,ax,940
248_55,m,dh,ax,s,2150
248_56,dh,ax,s,eh,2482
248_57,ax,s,eh,l,3158
248_58,s,eh,l,z,2290
249_0,sil,sil,sil,n,280
249_1,sil,sil,n,ow,1637
249_2,sil,n,ow,q,664
249_3,n,ow,q,ae,1628
249_4,ow,q,ae,n,191
249_5,q,ae,n,t,1063
249_6,ae,n,t,ax-h,417
249_7,n,t,ax-h,jh,795
249_8,t,ax-h,jh,ih,1336
249_9,ax-h,jh,ih,n,979
249_10,jh,ih,n,w,1277
249_11,ih,n,w,ah,1044
249_12,n,w,ah,z,291
249_13,w,ah,z,dcl,378
249_14,ah,z,dcl,d,626
249_15,z,dcl,d,ax-h,334
249_16,dcl,d,ax-h,tcl,627
249_17,d,ax-h,tcl,t,883
249_18,ax-h,tcl,t,eh,1665
249_19,tcl,t,eh,kcl,711
249_20,t,eh,kcl,t,376
249_21,eh,kcl,t,ax-h,558
249_22,kcl,t,ax-h,bcl,680
249_23,t,ax-h,bcl,b,230
249_24,ax-h,bcl,b,el,1038
249_25,bcl,b,el,ax,652
249_26,b,el,ax,n,1250
249_27,el,ax,n,s,1990
249_28,ax,n,s,er,1905
249_29,n,s,er,tcl,478
249_30,s,er,tcl,en,1609
249_31,er,tcl,en,dcl,798
249_32,tcl,en,dcl,d,275
249_33,en,dcl,d,ao,1988
249_34,dcl,d,ao,r,1667
249_35,d,ao,r,kcl,1642
249_36,ao,r,kcl,s,2289
249_37,r,kcl,s,f,961
249_38,kcl,s,f,ih,794
249_39,s,f,ih,er,1274
249_40,f,ih,er,kcl,600
249_41,ih,er,kcl,k,690
249_42,er,kcl,k,el,1834
249_43,kcl,k,el,q,1159
249_44,k,el,q,eh,955
249_45,el,q,eh,r,1353
249_46,q,eh,r,iy,1086
249_47,eh,r,iy,ah,1662
249_48,r,iy,ah,z,1157
249_49,iy,ah,z,en,1152
249_50,ah,z,en,m,1112
249_51,z,en,m,ow,2050
249_52,en,m,ow,s,2230
249_53,m,ow,s,eh,2485
249_54,ow,s,eh,l,2578
249_55,s,eh,l,z,1934
250_0,sil,sil,sil,q,651
250_1,sil,sil,q,ax,549
250_2,sil,q,ax,v,960
250_3,q,ax,v,pcl,890
250_4,ax,v,pcl,p,380
250_5,v,pcl,p,ix,567
250_6,pcl,p,ix,tcl,793
250_7,p,ix,tcl,t,1010
250_8,ix,tcl,t,ih,920
250_9,tcl,t,ih,kcl,570
250_10,t,ih,kcl,k,839
250_11,ih,kcl,k,ih,1044
250_12,kcl,k,ih,l,794
250_13,k,ih,l,er,2465
250_14,ih,l,er,em,711
250_15,l,er,em,pcl,587
250_16,er,em,pcl,p,1250
250_17,em,pcl,p,ao,1420
250_18,pcl,p,ao,r,710
250_19,p,ao,r,q,794
250_20,ao,r,q,en,1681
250_21,r,q,en,s,2085
250_22,q,en,s,pau,5450
250_23,en,s,pau,q,434
250_24,s,pau,q,ix,616
250_25,pau,q,ix,s,1515
250_26,q,ix,s,dh,1065
250_27,ix,s,dh,ix,480
250_28,s,dh,ix,s,1546
250_29,dh,ix,s,tcl,714
250_30,ix,s,tcl,t,510
250_31,s,tcl,t,ah,1520
250_32,tcl,t,ah,dx,480
250_33,t,ah,dx,iy,1833
250_34,ah,dx,iy,ix,917
250_35,dx,iy,ix,v,802
250_36,iy,ix,v,dh,1068
250_37,ix,v,dh,iy,1810
250_38,v,dh,iy,ae,1810
250_39,dh,iy,ae,kcl,460
250_40,iy,ae,kcl,k,441
250_41,ae,kcl,k,sh,1479
250_42,kcl,k,sh,epi,580
250_43,k,sh,epi,en,1534
250_44,sh,epi,en,z,1128
250_45,epi,en,z,ax,1258
250_46,en,z,ax,v,720
250_47,z,ax,v,dcl,520
250_48,ax,v,dcl,d,1053
250_49,v,dcl,d,r,942
250_50,dcl,d,r,ah,1982
250_51,d,r,ah,gcl,773
250_52,r,ah,gcl,z,1450
250_53,ah,gcl,z,q,1319
250_54,gcl,z,q,ih,1587
250_55,z,q,ih,n,1094
250_56,q,ih,n,ih,1413
250_57,ih,n,ih,s,2077
250_58,n,ih,s,epi,1110
250_59,ih,s,epi,r,413
250_60,s,epi,r,ax,870
250_61,epi,r,ax,s,1557
250_62,r,ax,s,pcl,740
250_63,ax,s,pcl,p,440
250_64,s,pcl,p,eh,1860
250_65,pcl,p,eh,kcl,2070
250_66,p,eh,kcl,t,730
251_0,sil,sil,sil,dh,675
251_1,sil,sil,dh,ix,752
251_2,sil,dh,ix,sh,1826
251_3,dh,ix,sh,aa,2364
251_4,ix,sh,aa,kcl,883
251_5,sh,aa,kcl,th,1357
251_6,aa,kcl,th,eh,681
251_7,kcl,th,eh,er,1588
251_8,th,eh,er,pcl,1441
251_9,eh,er,pcl,p,280
251_10,er,pcl,p,iy,4010
251_11,pcl,p,iy,z,1430
251_12,p,iy,z,pau,3030
251_13,iy,z,pau,ae,2600
251_14,z,pau,ae,kcl,1830
251_15,pau,ae,kcl,t,490
251_16,ae,kcl,t,l,1348
251_17,kcl,t,l,ay,2172
251_18,t,l,ay,kcl,1029
251_19,l,ay,kcl,k,929
251_20,ay,kcl,k,w,1802
251_21,kcl,k,w,ay,2883
251_22,k,w,ay,z,1217
251_23,w,ay,z,epi,980
251_24,ay,z,epi,ao,1920
251_25,z,epi,ao,n,1669
251_26,epi,ao,n,dh,438
251_27,ao,n,dh,iy,1944
251_28,n,dh,iy,hv,1689
251_29,dh,iy,hv,ay,1660
251_30,iy,hv,ay,pcl,1543
251_31,hv,ay,pcl,p,317
251_32,ay,pcl,p,ow,1580
251_33,pcl,p,ow,th,2180
251_34,p,ow,th,ax,588
251_35,ow,th,ax,l,1619
251_36,th,ax,l,ae,2441
251_37,ax,l,ae,m,1045
251_38,l,ae,m,ih,1247
251_39,ae,m,ih,kcl,1440
251_40,m,ih,kcl,k,696
251_41,ih,kcl,k,bcl,3667
251_42,kcl,k,bcl,b,356
251_43,k,bcl,b,ae,2017
251_44,bcl,b,ae,l,1211
251_45,b,ae,l,ax,745
251_46,ae,l,ax,n,503
251_47,l,ax,n,tcl,1395
251_48,ax,n,tcl,s,3700
252_0,sil,sil,sil,m,571
252_1,sil,sil,m,aa,1291
252_2,sil,m,aa,r,1045
252_3,m,aa,r,kcl,633
252_4,aa,r,kcl,k,244
252_5,r,kcl,k,s,887
252_6,kcl,k,s,epi,680
252_7,k,s,epi,m,430
252_8,s,epi,m,ix,885
252_9,epi,m,ix,n,349
252_10,m,ix,n,sh,2262
252_11,ix,n,sh,ih,1546
252_12,n,sh,ih,pcl,1310
252_13,sh,ih,pcl,p,421
252_14,ih,pcl,p,ih,994
252_15,pcl,p,ih,gcl,831
252_16,p,ih,gcl,g,245
252_17,ih,gcl,g,z,1308
252_18,gcl,g,z,ae,2682
252_19,g,z,ae,m,465
252_20,z,ae,m,pcl,1030
252_21,ae,m,pcl,p,335
252_22,m,pcl,p,el,1278
253_0,sil,sil,sil,b,268
253_1,sil,sil,b,iy,1174
